stock_name,scientific_name,common_name,region,tsn,fishery_type
SPHAKECH,Merluccius gayi,South Pacific hake,South America,164799,Gadids
SPRATIIIa.IV,Sprattus sprattus,Sprat,European Union,161789,Forage Fish
SSALMBIRKENH,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMBLACKL,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMBOWRON,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMBRANCH,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMCHIGNIKL,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMCHILKATL,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMCHILKO,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMCULTUS,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMEALSEKDR,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMEGEGIK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMEUPPERS,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMHARRISON,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMIGUSHIK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMKLUKSHUR,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMKVICHAK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMLUPPERS,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMLWASH,Oncorhynchus nerka,Sockeye salmon,US West Coast,161979,Pacific Salmon
SSALMNADINA,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMNAHANTLATCH,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMNAKNEK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMNASS,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMNUSHAGAK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMNUYAKUK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMOWIKENOL,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMPITT,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMQUIN,Oncorhynchus nerka,Sockeye salmon,US West Coast,161979,Pacific Salmon
SSALMRAFT,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMSEYMOUR,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMSITUKR,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
