stockid,tsn,scientificname,commonname,areaid
RDSHRMPMEDGSA15-16,96062,Aristeus antennatus,Red shrimp,multinational-GFCM-GSA15-16
RDSHRMPMEDGSA6,96062,Aristeus antennatus,Red shrimp,multinational-GFCM-GSA6
REDDEEP2J3K-3LNO,166756,Sebastes mentella,Deepwater redfish,Canada-DFO-2J3K-3LNO
REDDEEPDP-1-2-V-XII-XIV,166756,Sebastes mentella,Beaked redfish,multinational-ICES-DP-1-2-V-XII-XIV
REDDEEPI-II,166756,Sebastes mentella,Deepwater redfish,multinational-ICES-I-II
REDDEEPSH1-2-V-XII-XIV,166756,Sebastes mentella,Beaked redfish,multinational-ICES-SH-1-2-V-XII-XIV
REDDEEPUT12,166756,Sebastes mentella,Deepwater redfish,Canada-DFO-UT12
REDDEEPVa-XIV,166756,Sebastes mentella,Beaked redfish,multinational-ICES-Va-XIV
REDDEEPXIVb,166756,Sebastes mentella,Beaked redfish,multinational-ICES-XIVb
REDFEAUS,622131,Centroberyx affinis,Redfish,Australia-AFMA-EAUS
REDFISHSPP1,166705,Sebastes spp,Redfish species,multinational-NAFO-1
REDFISHSPP23K,166705,Sebastes spp,Redfish species,Canada-DFO-23K
REDFISHSPP3LN,166705,Sebastes spp,Redfish species,multinational-NAFO-3LN
REDFISHSPP3M,166705,Sebastes spp,Redfish species,multinational-NAFO-3M
REDFISHSPP3Pn4RSTVn,166705,Sebastes spp,Redfish species,Canada-DFO-3Pn4RSTVn
REDFISHSPPUT1,166705,Sebastes spp,Redfish species,Canada-DFO-UT1
REDFISHSPPUT2,166705,Sebastes spp,Redfish species,Canada-DFO-UT2
REXSOLEGA,172978,Glyptocephalus zachirus,Rex sole,USA-NMFS-GA
REXSOLEPCOAST,172978,Glyptocephalus zachirus,Rex sole,USA-NMFS-PCOAST
REYEROCKBSAI,166706,Sebastes aleutianus,Rougheye rockfish,USA-NMFS-BSAI
REYEROCKGA,166706,Sebastes aleutianus,Rougheye rockfish,USA-NMFS-GA
RGROUPGM,167702,Epinephelus morio,Red grouper,USA-NMFS-GM
RGROUPSATL,167702,Epinephelus morio,Red grouper,USA-NMFS-SATL
RGURNNEATL,692071,Chelidonichthys cuculus,Red gurnard,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
RHAKEGOMNGB,164730,Urophycis chuss,Red hake,USA-NMFS-GOMNGB
RHAKESGBMATL,164730,Urophycis chuss,Red hake,USA-NMFS-SGBMATL
RHERRPAC,161743,Etrumeus teres,Round herring,Japan-FAJ-PAC
RHERRTSST,161743,Etrumeus teres,Round herring,Japan-FAJ-TSST
