stockid,tsn,scientificname,commonname,areaid
SARDMEDGSA16,161813,Sardina pilchardus,Sardine,multinational-GFCM-GSA16
SARDMEDGSA17,161813,Sardina pilchardus,Sardine,multinational-GFCM-GSA17
SARDMEDGSA17-18,161813,Sardina pilchardus,Sardine,multinational-GFCM-GSA17-18
SARDMEDGSA20,161813,Sardina pilchardus,European pilchard,multinational-GFCM-GSA20
SARDMEDGSA22,161813,Sardina pilchardus,European pilchard,multinational-GFCM-GSA22
SARDMEDGSA6,161813,Sardina pilchardus,European pilchard,multinational-GFCM-GSA6
SARDMEDGSA7,161813,Sardina pilchardus,Sardine,multinational-GFCM-GSA7
SARDMEDGSA9,161813,Sardina pilchardus,European pilchard,multinational-GFCM-GSA9
SARDNWAZAB,161813,Sardina pilchardus,Sardine,multinational-FAO-NWAZAB
SARDNWAZC,161813,Sardina pilchardus,Sardine,multinational-FAO-NWAZC
SARDPCOAST,161729,Sardinops sagax,Pacific sardine,USA-NMFS-PCOAST
SARDPVIIIc-IXa,161813,Sardina pilchardus,Sardine,multinational-ICES-VIIIc-IXa
SARDSA,161729,Sardinops sagax,Sardine,South Africa-DETMCM-SA
SARDSAS,161729,Sardinops sagax,Sardine,South Africa-DETMCM-SAS
SARDSAW,161729,Sardinops sagax,Sardine,South Africa-DETMCM-SAW
SARDVII,161813,Sardina pilchardus,Sardine,multinational-ICES-VII
SARDVIIIabd,161813,Sardina pilchardus,Sardine,multinational-ICES-VIIIabd
SARDVII-VIIIabd,161813,Sardina pilchardus,Sardine,multinational-ICES-VII-VIIIabd
SARDWSE,161729,Sardinops sagax,Sardine,Australia-SARDI-WSE
SAURNWPAC,165609,Cololabis saira,Pacific saury,multinational-NPFC-NWPAC
SBARSHARATL,160289,Carcharhinus plumbeus,Sandbar shark,USA-NMFS-ATL
SBELLYROCKPCOAST,166725,Sebastes jordani,Shortbelly rockfish,USA-NMFS-PCOAST
SBREAMCH,168307,Epigonus crassicaudus,Deepwater cardinalfish,multinational-SPRFMO-CHL
SBT,172431,Thunnus maccoyii,Southern bluefin tuna,multinational-CCSBT-SO
SBWHITACIR,164775,Micromesistius australis,Southern blue whiting,New Zealand-MFish-CIR
SBWHITARGS,164775,Micromesistius australis,Southern blue whiting,Argentina-CFP-ARG-S
SBWHITCH,164775,Micromesistius australis,Southern blue whiting,Chile-SUBPESCA-CH-CS
SCADSPPCWAGNB-LBR,-962,Decapterus spp,Scad spp,multinational-FAO-CWAGNB-LBR
SCALL3Ps,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-3Ps
SCALL4T,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-4T
SCALL5ZMAB,79718,Placopecten magellanicus,Sea scallop,USA-NMFS-5ZMAB
SCALLGB,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-5Z
SCALLNBB,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-NBB
SCALLSFA16-20,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-SCFA16-20
SCALLSPA1-6,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-SPA1-6
SCALLWSFA29,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-WSFA29
SCHHEADATL,160508,Sphyrna lewini,Scalloped hammerhead,USA-NMFS-ATL
SCMPBP,552935,Metanephrops challengeri,Scampi,New Zealand-MFish-BOP
SCMPMB,552935,Metanephrops challengeri,Scampi,New Zealand-MFish-MB
SCMPWHB,552935,Metanephrops challengeri,Scampi,New Zealand-MFish-WHB
SCUPNWATLC,169182,Stenotomus chrysops,Scup,USA-NMFS-NWATLC
SDOG4VWX5,160617,Squalus acanthias,Spiny dogfish,Canada-DFO-4VWX5
SDOGATLC,160617,Squalus acanthias,Spiny dogfish,USA-NMFS-ATLC
SDOGBLKGSA29,160617,Squalus acanthias,Spiny dogfish,multinational-GFCM-GSA29
SDRAYVI-VII,564128,Leucoraja circularis,Sandy ray,multinational-ICES-VI-VII
SEELNSSA1,171671,Ammodytes spp,Sand eel,multinational-ICES-SA1
SEELNSSA2,171671,Ammodytes spp,Sand eel,multinational-ICES-SA2
SEELNSSA3,171671,Ammodytes spp,Sand eel,multinational-ICES-SA3
SEELNSSA4,171671,Ammodytes spp,Sand eel,multinational-ICES-SA4
SEELNSSA5,171671,Ammodytes spp,Sand eel,multinational-ICES-SA5
SEELNSSA6,171671,Ammodytes spp,Sand eel,multinational-ICES-SA6
SEELNSSA7,171671,Ammodytes spp,Sand eel,multinational-ICES-SA7
SEELVIa,171671,Ammodytes spp,Sand eel,multinational-ICES-VIa
SERAYVIIde,160882,Raja microocellata,Smalleyed ray,multinational-ICES-VIIde
SERAYVIIf-g,160882,Raja microocellata,Smalleyed ray,multinational-ICES-VIIf-g
SFLOUNMATLC,172735,Paralichthys dentatus,Summer flounder,USA-NMFS-MATLC
SFMAKONPAC,159924,Isurus oxyrinchus,Shortfin mako,USA-NMFS-NPAC
SFMAKONWPAC,159924,Isurus oxyrinchus,Shortfin mako,multinational-UNKNOWN-NWPAC
SGRAYVI-VII,564134,Leucoraja fullonica,Shagreen ray,multinational-ICES-VI-VII
SHAKE4VWX,164791,Merluccius bilinearis,Silver hake,Canada-DFO-4VWX
SHAKEGOMNGB,164791,Merluccius bilinearis,Silver hake,USA-NMFS-5YZ
SHAKESGBMATL,164791,Merluccius bilinearis,Silver hake,USA-NMFS-SGBMATL
SHAKOIMKB,-964,Oratosquilla oratoria,Shako,Japan-FAJ-IMKB
SHCROCKPCOAST,166744,Sebastes zacentrus,Sharpchin rockfish,USA-NMFS-PCOAST
SHSPPNEATL,160226,Mustelus spp,Smooth hound,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
SILVERFISHSE,172534,Seriolella punctata,Silverfish,Australia-AFMA-SE
SKJCIO,172401,Katsuwonus pelamis,Skipjack tuna,multinational-IOTC-IO
SKJCWPAC,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC
SKJEATL,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL
SKJEPAC,172401,Katsuwonus pelamis,Skipjack tuna,multinational-IATTC-EPAC
SKJWATL,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-WATL
SKSNAPCARIB,168861,Lutjanus vivanus,Silk snapper,USA-NMFS-CARIB
SMDOGATL,160230,Mustelus canis,Smooth dogfish,USA-NMFS-ATL
SMOOTHOREOBP,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-BP
SMOOTHOREOCR,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-CR
SMOOTHOREOEPR,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-EPR
SMOOTHOREOSLD,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-SLD
SMOOTHOREOWECR,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-WECR
SMOOTHSKA2J3K,564151,Malacoraja senta,Smooth skate,Canada-DFO-2J3K
SMOOTHSKA4T,564151,Malacoraja senta,Smooth skate,Canada-DFO-4T
SMSHRMPMEDGSA10,99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA10
SMSHRMPMEDGSA17,99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA17
SMSHRMPMEDGSA17-18,99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA17-18
SMSHRMPMEDGSA9,99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA9
SMULLMEDGSA15-16,169418,Mullus surmuletus,Surmullet,multinational-GFCM-GSA15-16
SMULLMEDGSA5,169418,Mullus surmuletus,Surmullet,multinational-GFCM-GSA5
SMULLMEDGSA9,169418,Mullus surmuletus,Surmullet,multinational-GFCM-GSA9
SNAPSAUSNSG,169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSNSG
SNAPSAUSSGSV,169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSSGSV
SNAPSAUSSSG,169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSSSG
SNOSESHARATL,160200,Rhizoprionodon terraenovae,Atlantic sharpnose shark,USA-NMFS-ATL
SNOWCRAB2HJ,98428,Chionoecetes opilio,Snow crab,Canada-DFO-2HJ
SNOWCRAB2HJ3KLNOP4R,98428,Chionoecetes opilio,Snow crab,Canada-DFO-2HJ3KLNOP4R
SNOWCRAB2J,98428,Chionoecetes opilio,Snow crab,Canada-DFO-2J
SNOWCRAB3K,98428,Chionoecetes opilio,Snow crab,Canada-DFO-3K
SNOWCRAB3LNO,98428,Chionoecetes opilio,Snow crab,Canada-DFO-3LNO
SNOWCRAB3NO,98428,Chionoecetes opilio,Snow crab,Canada-DFO-3NO
SNOWCRAB3Ps,98428,Chionoecetes opilio,Snow crab,Canada-DFO-3Ps
SNOWCRAB4R3Pn,98428,Chionoecetes opilio,Snow crab,Canada-DFO-4R3Pn
SNOWCRABBS,98428,Chionoecetes opilio,Snow crab,USA-NMFS-BS
SNOWCRABESJ,98428,Chionoecetes opilio,Snow crab,Japan-FAJ-ESJ
SNOWCRABHOKK,98428,Chionoecetes opilio,Snow crab,Japan-FAJ-HOKK
SNOWCRABNPAC,98428,Chionoecetes opilio,Snow crab,Japan-FAJ-NPAC
SNOWCRABOKS,98428,Chionoecetes opilio,Snow crab,Japan-FAJ-OKS
SNOWCRABSCMA12-17,98428,Chionoecetes opilio,Snow crab,Canada-DFO-SCMA12-17
SNOWCRABSGSL,98428,Chionoecetes opilio,Snow crab,Canada-DFO-4T
SNOWCRABWSJ,98428,Chionoecetes opilio,Snow crab,Japan-FAJ-WSJ
SNOWGROUPSATLC,167705,Epinephelus niveatus,Snowy grouper,USA-NMFS-SATLC
SNROCKPCOAST,166716,Sebastes diploproa,Splitnose rockfish,USA-NMFS-PCOAST
SOLECS,173002,Solea solea,Common sole,multinational-ICES-VIIf-g
SOLECWAAGO,-986,Cynoglossus spp,Sole,multinational-FAO-CWAAGO
SOLECWAGAB-COD,-986,Cynoglossus spp,Sole,multinational-FAO-CWAGAB-COD
SOLECWAGIN-LBR,-986,Cynoglossus spp,Sole,multinational-FAO-CWAGIN-LBR
SOLECWAGNB-GIN,-986,Cynoglossus spp,Sole,multinational-FAO-CWAGNB-GIN
SOLEIIIa-2224,173002,Solea solea,Common sole,multinational-ICES-22-24-IIIa
SOLEIS,173002,Solea solea,Common sole,multinational-ICES-VIIa
SOLENS,173002,Solea solea,Common sole,multinational-ICES-IV
SOLEVIIbc,173002,Solea solea,Common sole,multinational-ICES-VIIbc
SOLEVIId,173002,Solea solea,Common sole,multinational-ICES-VIId
SOLEVIIe,173002,Solea solea,Common sole,multinational-ICES-VIIe
SOLEVIIh-k,173002,Solea solea,Common sole,multinational-ICES-VIIh-k
SOLEVIIIab,173002,Solea solea,Common sole,multinational-ICES-VIIIab
SOLEVIIIc-IXa,173002,Solea solea,Common sole,multinational-ICES-VIIIc-IXa
SOLMEDGSA17,173002,Solea solea,Common sole,multinational-GFCM-GSA17
SOLMEDGSA7,173002,Solea solea,Common sole,multinational-GFCM-GSA7
SOUTHHAKECH,164797,Merluccius australis,Southern hake,Chile-SUBPESCA-CH-CS
SOUTHHAKECR,164797,Merluccius australis,Southern hake,New Zealand-MFish-CR
SOUTHHAKESA,164797,Merluccius australis,Southern hake,New Zealand-MFish-SA
SOUTHHAKEWCSI,164797,Merluccius australis,Southern hake,New Zealand-MFish-WCSI
SPANMACKECS,172446,Scomberomorus niphonius,Japanese Spanish mackerel,Japan-FAJ-ECS
SPANMACKGM,172436,Scomberomorus maculatus,Spanish mackerel,USA-NMFS-GM
SPANMACKSATLC,172436,Scomberomorus maculatus,Spanish mackerel,USA-NMFS-SATLC
SPANMACKSETO,172446,Scomberomorus niphonius,Japanese Spanish mackerel,Japan-FAJ-SETO
SPHAKECH,164799,Merluccius gayi,South Pacific hake,Chile-SUBPESCA-CH-CS
SPRAT22-32,161789,Sprattus sprattus,Sprat,multinational-ICES-22-32
SPRATIIIa,161789,Sprattus sprattus,Sprat,multinational-ICES-IIIa
SPRATIIIa-IV,161789,Sprattus sprattus,Sprat,multinational-ICES-IIIa-IV
SPRATNS,161789,Sprattus sprattus,Sprat,multinational-ICES-IV
SPRATVIIde,161789,Sprattus sprattus,Sprat,multinational-ICES-VIIde
SPRATVI-VIIabcfghijk,161789,Sprattus sprattus,Sprat,multinational-ICES-VI-VIIabcfghijk
SPRAYIIIa-IV-VIId,160883,Raja montagui,Spotted ray,multinational-ICES-IIIa-IV-VIId
SPRAYIXa,160883,Raja montagui,Spotted ray,multinational-ICES-IXa
SPRAYVIIaefgh,160883,Raja montagui,Spotted ray,multinational-ICES-VIIaefgh
SPRAYVIII,160883,Raja montagui,Spotted ray,multinational-ICES-VIII
SPRAYVI-VIIbj,160883,Raja montagui,Spotted ray,multinational-ICES-VI-VIIbj
SPRBLKGSA29,161789,Sprattus sprattus,Sprat,multinational-GFCM-GSA29
SPSDOGPCOAST,160620,Squalus suckleyi,Spotted spiny dogfish,USA-NMFS-PCOAST
SPSHRIMPCWA,551575,Farfantepenaeus notialis,Southern pink shrimp,multinational-FAO-CWA
SPSQUIDPAC,556653,Loligo bleekeri,Spear squid,Japan-FAJ-PAC
SPSQUIDTSSTWC,556653,Loligo bleekeri,Spear squid,Japan-FAJ-TSSTWC
SPURDNEATL,160617,Squalus acanthias,Spurdog,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
SRAKEROCKBSAI,166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-BSAI
SRAKEROCKGA,166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-GA
SSALMA1,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A1
SSALMA12,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A12
SSALMA13,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A13
SSALMA16,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A16
SSALMA28,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A28
SSALMA2E,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A2E
SSALMA2W,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A2W
SSALMA5,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A5
SSALMA6,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A6
SSALMA7,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A7
SSALMA8,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A8
SSALMADAMS,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-ADAMS
SSALMAKALURAL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-AKALURAL
SSALMANADYRSW,161979,Oncorhynchus nerka,Sockeye salmon,Russia-TINRO-ANADYRSW
SSALMATNARKO,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-ATNARKO
SSALMAWKER,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-AWKER
SSALMBARKS,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-BARKS
SSALMBEARR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-BEARR
SSALMBIRKENH,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-BIRKENH
SSALMBLACKL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-BLACKL
SSALMBOWRON,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-BOWRON
SSALMBRANCH,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-BRANCH
SSALMBUSKINL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-BUSKINL
SSALMCAYENNE,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-CAYENNE
SSALMCHIGNIKL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-CHIGNIKL
SSALMCHILKATL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-CHILKATL
SSALMCHILKO,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-CHILKO
SSALMCHILKOOTL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-CHILKOOTL
SSALMCHILKOS,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-CHILKOS
SSALMCHILLIW,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-CHILLIW
SSALMCOLR,161979,Oncorhynchus nerka,Sockeye salmon,USA-WASTATE-COLR
SSALMCULTUS,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-CULTUS
SSALMEALSEKDR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-EALSEKDR
SSALMEGEGIK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-EGEGIK
SSALMEKAMSW,161979,Oncorhynchus nerka,Sockeye salmon,Russia-TINRO-EKAMSW
SSALMEUPPERS,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-EUPPERS
SSALMFENNELL,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-FENNELL
SSALMGATES,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-GATES
SSALMGATESC,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-GATESC
SSALMHARRISON,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-HARRISON
SSALMHORSEFLY,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-HORSEFLY
SSALMHSSH,161979,Oncorhynchus nerka,Sockeye salmon,Japan-FAJ-HSSH
SSALMHSSW,161979,Oncorhynchus nerka,Sockeye salmon,Japan-FAJ-HSSW
SSALMIGUSHIK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-IGUSHIK
SSALMILNIKR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-ILNIKR
SSALMITALOR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-ITALOR
SSALMKARLUKL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-KARLUKL
SSALMKIMSQUIT,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-KIMSQUIT
SSALMKITLOPE,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-KITLOPE
SSALMKLUKSHUR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-KLUKSHUR
SSALMKUSKOKWIM,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-KUSKOKWIM
SSALMKVICHAK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-KVICHAK
SSALMLLAKE,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-LLAKE
SSALMLOSTR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-LOSTR
SSALMLRIVER,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-LRIVER
SSALMLSTUART,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-LSTUART
SSALMLUPPERS,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-LUPPERS
SSALMLWASH,161979,Oncorhynchus nerka,Sockeye salmon,USA-WASTATE-LWASH
SSALMMALINAL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-MALINAL
SSALMMCDONALD,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-MCDONALD
SSALMMITCHELL,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-MITCHELL
SSALMNADINA,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-NADINA
SSALMNADINAC,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-NADINAC
SSALMNAHANTLATCH,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-NAHANTLATCH
SSALMNAKNEK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-NAKNEK
SSALMNASS,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-NASS
SSALMNELSONR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-NELSONR
SSALMNUSHAGAK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-NUSHAGAK
SSALMNUYAKUK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-NUYAKUK
SSALMOKSH,161979,Oncorhynchus nerka,Sockeye salmon,Russia-TINRO-OKSH
SSALMOKSW,161979,Oncorhynchus nerka,Sockeye salmon,Russia-TINRO-OKSW
SSALMORZINSKIL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-ORZINSKIL
SSALMOWIKENOL,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-OWIKENOL
SSALMPASAGSHAKR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-PASAGSHAKR
SSALMPAULSBD,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-PAULSBD
SSALMPITT,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-PITT
SSALMPORTAGE,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-PORTAGE
SSALMQUIN,161979,Oncorhynchus nerka,Sockeye salmon,USA-WASTATE-QUIN
SSALMRAFT,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-RAFT
SSALMREDOUBTL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-REDOUBTL
SSALMSALTERYL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-SALTERYL
SSALMSANDYR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-SANDYR
SSALMSCOTCH,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-SCOTCH
SSALMSEYMOUR,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-SEYMOUR
SSALMSHUSWAP,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-SHUSWAP
SSALMSITUKR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-SITUKR
SSALMSKEENA,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-SKEENA
SSALMSKIDEGATE,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-SKIDEGATE
SSALMSPEELL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-SPEELL
SSALMSTELLAKO,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-STELLAKO
SSALMSTIKINE,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-STIKINE
SSALMTAHLTAN,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-TAHLTAN
SSALMTAKUR,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-TAKUR
SSALMTASEKO,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-TASEKO
SSALMTOGIAK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-TOGIAK
SSALMUCOOKI,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-UCOOKI
SSALMUGANIKL,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-UGANIKL
SSALMUGASHIK,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-UGASHIK
SSALMWEAVER,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-WEAVER
SSALMWEAVERC,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-WEAVERC
SSALMWKAMSH,161979,Oncorhynchus nerka,Sockeye salmon,Russia-TINRO-WKAMSH
SSALMWKAMSW,161979,Oncorhynchus nerka,Sockeye salmon,Russia-TINRO-WKAMSW
SSALMWOOD,161979,Oncorhynchus nerka,Sockeye salmon,USA-AKSTATE-WOOD
SSALMYAKOUN,161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-YAKOUN
SSANDNSJ,170916,Arctoscopus japonicus,Sailfin sandfish,Japan-FAJ-NSJ
SSANDWSJ,170916,Arctoscopus japonicus,Sailfin sandfish,Japan-FAJ-WSJ
SSARDCH,-994,Sprattus fuegensis,Southern sardine,Chile-SUBPESCA-CH-CS
SSCLAMQCW,81692,Mya arenaria,Softshell clam ,Canada-DFO-QCW
SSHRIMPSMAGTSE,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-SMA-GTSE
SSHRIMPSMAPRD,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-SMA-PRD
SSKAT5YZSNE,564151,Malacoraja senta,Smooth skate,USA-NMFS-5YZSNE
SSLOBSTERSASC,552965,Palinurus gilchristi,Southern spiny lobster,South Africa-DETMCM-SASC
SSSHRIMPICBC,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-ICBC
SSSHRIMPSMA14,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-SMA-14
SSSHRIMPSMA16,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-SMA-16
SSSHRIMPSMA18-19,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-SMA-18-19
SSSHRIMPSMAFR,96995,Pandalopsis dispar,Sidestripe shrimp,Canada-DFO-SMA-FR
SSTHORNHGA,166783,Sebastolobus alascanus,Shortspine thornyhead,USA-NMFS-GA
SSTHORNHPCOAST,166783,Sebastolobus alascanus,Shortspine thornyhead,USA-NMFS-PCOAST
STFLOUNNPCOAST,172893,Platichthys stellatus,Starry flounder,USA-NMFS-NPCOAST
STFLOUNSPCOAST,172893,Platichthys stellatus,Starry flounder,USA-NMFS-SPCOAST
STMARLINIO,768127,Kajikia audax,Striped marlin,multinational-IOTC-IO
STMARLINNEPAC,768127,Kajikia audax,Striped marlin,multinational-IATTC-NEPAC
STMARLINNPAC,768127,Kajikia audax,Striped marlin,USA-NMFS-NPAC
STMARLINSWPO,768127,Kajikia audax,Striped marlin,multinational-WCPFC-SWPAC
STMARLINWCNPAC,768127,Kajikia audax,Striped marlin,multinational-ISC-WCNPAC
STRAYII-IIIa-IV,564149,Amblyraja radiata,Starry ray,multinational-ICES-II-IIIa-IV
STRIPEDBASSGOMCHATT,167680,Morone saxatilis,Striped bass,USA-NMFS-5YCHATT
STRMULLIIIa-IV-VIId,169418,Mullus surmuletus,Striped red mullet,multinational-ICES-IIIa-IV-VIId
STRMULLVI-VIIabcefghijk-VIII-IXa,169418,Mullus surmuletus,Striped red mullet,multinational-ICES-VI-VIIabcefghijk-VIII-IXa
STROUT22-32,161997,Salmo trutta,Sea trout,multinational-ICES-22-32
STRSHRIMPSFA2-3,96971,Pandalus montagui,Aesop shrimp,Canada-DFO-SFA2-3
STSQUIDSOJECS,556657,Uroteuthis edulis,Swordtip squid,Japan-FAJ-SOJECS
SUNIMHI,172294,Naso hexacanthus,Sleek unicornfish,USA-NMFS-MHI
SURFMATLC,80944,Spisula solidissima,Atlantic surfclam,USA-NMFS-MATLC
SWHITSE,646043,Sillago flindersi,School whiting,Australia-AFMA-SE
SWORDEPAC,172482,Xiphias gladius,Swordfish,multinational-IATTC-EPAC
SWORDIO,172482,Xiphias gladius,Swordfish,multinational-IOTC-IO
SWORDMED,172482,Xiphias gladius,Swordfish,multinational-ICCAT-MED
SWORDNATL,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL
SWORDNPAC,172482,Xiphias gladius,Swordfish,multinational-ISC-NPAC
SWORDSATL,172482,Xiphias gladius,Swordfish,multinational-ICCAT-SATL
TANNERCRABBSAI,98429,Chionoecetes bairdi,Tanner crab,USA-NMFS-BSAI
TARAKNZ,170262,Nemadactylus macropterus,Tarakihi,New Zealand-MFish-SA
TASGIANTCRABTAS,-999,Pseudocarcinus gigas,Tasmanian giant crab,Australia-AFMA-TAS
