stock_name,scientific_name,common_name,region,tsn,fishery_type,age,age_type,source
HERRNIRS,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERRNORSS,Clupea harengus,Herring,Europe non EU,161722,Forage Fish,25,max reported,FishBase
HERRNS-IIIa-VIId,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERRNWATLC,Clupea harengus,Herring,US East Coast,161722,Forage Fish,25,max reported,FishBase
HERRPRD,Clupea pallasii,Pacific herring,Canada West Coast,551209,Forage Fish,19,max reported,FishBase
HERRPWS,Clupea pallasii,Pacific herring,US Alaska,551209,Forage Fish,19,max reported,FishBase
HERRQCI,Clupea pallasii,Pacific herring,Canada West Coast,551209,Forage Fish,19,max reported,FishBase
HERRRIGA,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERRSIRS,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERRSITKA,Clupea pallasii,Pacific herring,US Alaska,551209,Forage Fish,19,max reported,FishBase
HERRSOG,Clupea pallasii,Pacific herring,Canada West Coast,551209,Forage Fish,19,max reported,FishBase
HERRVIa,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERRVIaVIIbc,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERRWCVANI,Clupea pallasii,Pacific herring,Canada West Coast,551209,Forage Fish,19,max reported,FishBase
HMACKIIa-IVa-Vb-VIa-VII-VIII,Trachurus trachurus,Horse mackerel,European Union,168588,Forage Fish,40,max reported,ICES CIEM
HMACKIXa,Trachurus trachurus,Horse mackerel,European Union,168588,Forage Fish,40,max reported,ICES CIEM
HOKIENZ,Macruronus novaezelandiae,Hoki,New Zealand,623193,Gadids,25,max reported,FishBase
HOKIWNZ,Macruronus novaezelandiae,Hoki,New Zealand,623193,Gadids,25,max reported,FishBase
JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Japan,161835,Forage Fish,4,max reported,FishBase
JANCHOSETO,Engraulis japonicus,Japanese anchovy,Japan,161835,Forage Fish,4,max reported,FishBase
JANCHOTSST,Engraulis japonicus,Japanese anchovy,Japan,161835,Forage Fish,4,max reported,FishBase
JMACKPJPN,Trachurus japonicus,Japanese jack mackerel,Japan,642012,Forage Fish,12,max reported,FishBase
JMACKTSST,Trachurus japonicus,Japanese jack mackerel,Japan,642012,Forage Fish,12,max reported,FishBase
JPUFFIMKB,Takifugu rubripes,Japanese pufferfish,Japan,646410,Other Marine,NA,NA,NA
KELPGREENLINGORECOAST,Hexagrammos decagrammus,Kelp greenling,US West Coast,167110,Other Marine,18,max reported,FishBase
KMACKGM,Scomberomorus cavalla,King mackerel,US Southeast and Gulf,172435,Tuna and Marlin,14,max reported,FishBase
KMACKSATLC,Scomberomorus cavalla,King mackerel,US Southeast and Gulf,172435,Tuna and Marlin,14,max reported,FishBase
KMFLOUNBSAI,Atheresthes evermanni,Kamchatka flounder,US Alaska,172861,Flatfish,33,max reported,FishBase
LINGCODNPCOAST,Ophiodon elongatus,Lingcod,US West Coast,167116,Other Marine,25,max reported,FishBase
LINGCODSPCOAST,Ophiodon elongatus,Lingcod,US West Coast,167116,Other Marine,25,max reported,FishBase
LINGVa,Molva molva,Ling,Europe non EU,164760,Gadids,25,max reported,FishBase
LOBSTERGB,Homarus americanus,American lobster,US East Coast,97314,Invertebrate,100,suspected upper limit,NOAA
LOBSTERGOM,Homarus americanus,American lobster,US East Coast,97314,Invertebrate,100,suspected upper limit,NOAA
LOBSTERSNE,Homarus americanus,American lobster,US East Coast,97314,Invertebrate,100,suspected upper limit,NOAA
LSTHORNHPCOAST,Sebastolobus altivelis,Longspine thornyhead,US West Coast,166784,Rockfish,45,max reported,FishBase
MACK5YCHATT,Scomber scombrus,Atlantic mackerel,US East Coast,172414,Forage Fish,17,max reported,FishBase
MACKNEICES,Scomber scombrus,Mackerel,European Union,172414,Forage Fish,17,max reported,FishBase
MACKNWATLSA3-4,Scomber scombrus,Mackerel,Canada East Coast,172414,Forage Fish,17,max reported,FishBase
MENATGM,Brevoortia patronus,Gulf menhaden,US Southeast and Gulf,161734,Forage Fish,12,upper age range,NOAA
MENATLAN,Brevoortia tyrannus,Atlantic menhaden,US East Coast,161732,Forage Fish,12,upper age range,NOAA
