stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
BKSFNEATL, 172389,Aphanopus carbo,Black scabbardfish,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Black scabbardfish Northeast Atlantic,European Union,Portugal,27,PRT,,0,NA,Current
BLACKGROUPERGMSATL, 167760,Mycteroperca bonaci,Black grouper,USA-NMFS-GMSATL,Black grouper Gulf of Mexico and South Atlantic,US Southeast and Gulf,USA,31,USA,4c2cc268-2da6-30f1-bfed-21ca919660d4,0,NA,Current
BLACKOREOPR, 625296,Allocyttus niger,Black oreo,New Zealand-MFish-PR,Black oreo Pukaki Rise,New Zealand,New Zealand,81,NZL,315ac9c8-f6f6-3610-970a-c77c7f05730a,0,,Current
BLACKOREOWECR, 625296,Allocyttus niger,Black oreo,New Zealand-MFish-WECR,Black oreo West end of Chatham Rise,New Zealand,New Zealand,81,NZL,,0,,Current
BLACKROCKCAL, 166727,Sebastes melanops,Black rockfish,USA-NMFS-CAL,Black rockfish California,US West Coast,USA,77,USA,,0,NA,Current
BLACKROCKNPCOAST, 166727,Sebastes melanops,Black rockfish,USA-NMFS-NPCOAST,Black rockfish Northern Pacific Coast,US West Coast,USA,67,USA,7d4353c2-3737-340f-97f5-28fcaffa4f70,0,NA,Deprecated
BLACKROCKORECOAST, 166727,Sebastes melanops,Black rockfish,USA-NMFS-ORECOAST,Black rockfish Oregon Coast,US West Coast,USA,67,USA,333d13d7-48e4-3f4b-8b57-9a21ad85d417,0,NA,Current
BLACKROCKSPCOAST, 166727,Sebastes melanops,Black rockfish,USA-NMFS-SPCOAST,Black rockfish Southern Pacific Coast,US West Coast,USA,77,USA,b89284cd-f63f-36b6-a6e3-068a5c75035e,0,NA,Deprecated
BLACKROCKWASH, 166727,Sebastes melanops,Black rockfish,USA-NMFS-WASH,Black rockfish Washington,US West Coast,USA,67,USA,,0,NA,Current
BLINGI-II-IIIa-IVa-VIII-IX-XII, 164761,Molva dypterygia,Blue ling,multinational-ICES-I-II-IIIa-IVa-VIII-IX-XII,Blue ling ICES 1-2-3a-4a-8-9-12,European Union,Spain,27,ESP,0a5686ad-d1c7-33ce-8e88-83bd9ea06ce6,0,NA,Current
BLINGVa-XIV, 164761,Molva dypterygia,Blue ling,multinational-ICES-Va-XIV,Blue ling ICES 5a-14,Europe non EU,Iceland,27,ISL,9049d64e-0102-32d3-a380-fbdfa118b89e,0,NA,Current
