"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc"
"192","NSHRIMPCSCH",553829.85804534,0.000108074177980232,-72.2952917362953,952035.909514894,0.000454047548760169,-73.4191479405003
"193","NSHRIMPNCH",1451152.84605675,0.000596924859862311,-111.526731118329,31493906755.577,49.4539337954785,-74.2013973873868
"194","NZLINGESE",572.429400942921,8.46426631956451e-05,-25.5675480375922,662.541237540395,0.000155989707768492,-25.6089831285221
"195","NZLINGLIN3.4",177.420637391015,9.88827621508011e-06,-108.400926421147,661.250890572274,9.16280633505482e-05,-108.627480953291
"196","NZLINGLIN5.6",3822.31987039028,1.09196203388272e-05,-42.1559434160607,13229780.1157961,0.266760516930785,-39.4592352682446
"197","NZLINGLIN72",23.8677212886245,-0.000211205769686329,-45.2706193130863,32.2467129837835,-0.000104196900484017,-45.5845824352921
"198","NZLINGLIN7WC",236.293843584297,9.41490514774439e-06,-68.3908531329955,254.904200544143,1.51780735547178e-05,-68.2809154190751
"199","NZLINGWSE",3573.38077515966,0.0003632941464596,-47.6501101319429,25223974.7022118,11.9206717424446,-44.8807717384274
"200","NZSNAPNZ1ENLD",338.167626829375,2.89462017843568e-05,-92.6998440177528,748.712666916326,0.000155290108970146,-95.7617598323137
"201","NZSNAPNZ7",225.826070549663,0.000199682372949018,-2.87920092494358,450.443175613232,0.00115738903232744,-5.24129930797698
"202","NZSNAPNZ8",234.003886343183,2.6987969209288e-05,-39.446575998258,475.460446098174,0.000148372344104826,-42.2949417751444
"203","OFLOUNECS",10426.5307180557,0.00105156436157236,-74.3370039232264,82109454.0226487,37.3603134387896,-64.1720053970214
"204","PACBTUNA",672.965746814996,1.59579328607766e-05,-82.0984905640461,2172.15697606271,0.000155806390861613,-86.0843582085863
"205","PANCHCCH",0.380452079326253,2.23160617794155e-06,-52.2095407009669,0.39522036934032,3.25775324001452e-06,-52.2980320650344
"206","PANCHNCHSP",0.683820631832283,1.18610108845027e-06,-11.534791902042,512661.434299999,2.79802793804231,-11.1904394991121
"207","PANCHPERUNC",135.620709845387,4.99305792525902e-08,-31.2965158720881,146.933460339542,8.54255586735328e-08,-31.6286067431649
