stock_name,regime_length
PSALMPRIMPW,25
PSALMPRIMPW,6
PSALMPRIMPW,8
PSALMPRIMPW,13
PSALMPWSSED,10
PSALMPWSSED,7
PSALMPWSSED,13
PSALMROCKYROD,9
PSALMROCKYROD,6
PSALMROCKYROD,6
PSALMROCKYROD,8
PSALMROCKYROD,8
PSALMSELDOVIAB,15
PSALMSELDOVIAB,7
PSALMSELDOVIAB,9
PSALMSELDOVIAB,6
PSALMWINDYC,10
PSALMWINDYC,8
PSALMWINDYC,11
PSALMWINDYC,8
PSOLEPCOAST,7
PSOLEPCOAST,11
PSOLEPCOAST,6
PSOLEPCOAST,16
PSOLEPCOAST,6
PSOLEPCOAST,10
PTOOTHFISHCH,6
PTOOTHFISHCH,6
PTOOTHFISHCH,13
RHERRTSST,11
RHERRTSST,8
RHERRTSST,10
RHERRTSST,6
RHERRTSST,8
RSOLE5AB,9
RSOLE5AB,7
RSOLE5AB,7
RSOLE5AB,10
RSOLE5AB,10
RSOLE5AB,7
RSOLE5AB,12
RSOLE5AB,6
RSOLEHSTR,18
RSOLEHSTR,7
RSOLEHSTR,6
RSOLEHSTR,6
RSOLEHSTR,9
RSOLEHSTR,7
RSOLEHSTR,16
SABLEFPCOAST,6
SABLEFPCOAST,25
SABLEFPCOAST,20
SARDMEDGSA17.18,9
SARDMEDGSA17.18,9
SARDMEDGSA17.18,8
SARDMEDGSA17.18,6
SARDMEDGSA17.18,9
SARDPVIIIc.IXa,15
SARDPVIIIc.IXa,7
SARDPVIIIc.IXa,6
SARDPVIIIc.IXa,13
SBT,9
SBT,6
SBT,6
SBT,9
SBT,12
SBT,10
SBT,10
SBT,6
SBT,6
SBT,12
SBWHITCH,6
SBWHITCH,10
SBWHITCH,7
SBWHITCH,6
SBWHITCH,14
SCUPNWATLC,8
SCUPNWATLC,6
SCUPNWATLC,19
SEELNSSA2,14
SEELNSSA2,17
SEELNSSA2,6
SMOOTHOREOCR,11
SMOOTHOREOCR,25
SMOOTHOREOCR,12
SOLEIS,30
SOLEIS,9
SOLEIS,9
SOLEVIIIab,7
SOLEVIIIab,8
SOLEVIIIab,11
SOLEVIIIab,8
SOUTHHAKECR,11
SOUTHHAKECR,6
SOUTHHAKECR,10
SPANMACKSETO,7
SPANMACKSETO,7
SPANMACKSETO,7
SPANMACKSETO,6
SPRAT22.32,16
SPRAT22.32,29
SPRATIIIa.IV,8
SPRATIIIa.IV,23
SPRATIIIa.IV,7
SSALMBLACKL,22
SSALMBLACKL,16
